datetime_O3_rf_107,O3_ref_107,O3_fit_107,O3_T_107,O3_RH_107
2016-09-24 17:45:00,33.9696,34.03723132,22.1,51.3333
2016-09-24 18:00:00,32.1544,32.2343462933333,21.9,51.7
2016-09-24 18:14:59,32.2262,33.31098809,21.5,51.95
2016-09-24 18:30:00,31.3086,32.11987616,21.3,52.35
2016-09-24 18:45:00,29.3141,29.8903042733333,20.9,53
2016-09-24 18:59:59,27.7789,30.9503974066666,20.6,53.7
2016-09-24 19:15:00,27.6806,28.25524182,20.25,54.35
2016-09-24 19:30:00,27.8836,28.10611685,19.95,55.05
2016-09-24 19:44:59,26.8567,27.57087829,19.75,55.55
2016-09-24 20:00:00,25.2408,25.4989190433333,19.4,56.2667
2016-09-24 20:15:00,24.7055,24.7973284333333,19.05,56.85
2016-09-24 20:29:59,24.7287,24.0723634826666,18.85,57.2
2016-09-24 20:45:00,23.854,24.2404661233333,18.6,57.65
2016-09-24 21:00:00,23.659,23.4611077933333,18.3333,58.3667
2016-09-24 21:14:59,22.4837,23.0732552233333,18.05,59.15
2016-09-24 21:30:00,21.6813,20.9536875826667,17.75,59.55
2016-09-24 21:45:00,21.4824,20.6159007166667,17.55,59.7
2016-09-24 21:59:59,20.9049,21.33384324,17.2,60.0667
2016-09-24 22:15:00,20.203,20.1561678833333,16.95,60.3
2016-09-24 22:30:00,20.3394,19.7968816786667,16.7,60.25
2016-09-24 22:44:59,20.844,20.303673942,16.45,60.3
2016-09-24 23:00:00,18.5819,18.9649028466667,16.2,60.8
2016-09-24 23:15:00,16.1259,16.741643106,15.9,61.75
2016-09-24 23:29:59,15.6116,16.0726953886667,15.75,62.2
2016-09-24 23:45:00,15.5825,16.1043597533333,15.5,62.4
2016-09-25 00:00:00,16.6877,17.8454260400001,15.2,62.7333
2016-09-25 00:14:59,15.5381,15.9596017086667,15,63.1333
2016-09-25 00:30:00,14.832,15.4953465413334,14.75,63.55
2016-09-25 00:45:00,15.7267,15.8763624653334,14.55,63.95
2016-09-25 00:59:59,15.8023,16.2608060813334,14.45,64.35
