frame	(img_x,img_y)	(x,y,z)		distance
0	(1058,462)	(1058,462,0)	0
1	(1058,462)	(1058,462,0)	0
2	(1043,445)	(1043,461,15)	22
3	(1024,428)	(1024,460,31)	47
4	(1006,412)	(1006,459,46)	70
5	(989,398)	(989,458,60)	92
6	(972,383)	(972,457,74)	114
7	(972,383)	(972,457,74)	114
8	(955,369)	(955,456,87)	136
9	(939,356)	(939,456,99)	156
10	(924,345)	(924,455,109)	174
11	(908,335)	(908,454,119)	193
12	(892,324)	(892,453,129)	212
13	(892,324)	(892,453,129)	212
14	(878,316)	(878,453,137)	227
15	(863,309)	(863,452,143)	244
16	(848,301)	(848,451,150)	260
17	(833,296)	(833,450,154)	276
18	(819,289)	(819,450,160)	291
19	(819,289)	(819,450,160)	291
20	(804,284)	(804,449,165)	307
21	(789,280)	(789,448,168)	322
22	(774,278)	(774,448,169)	337
23	(757,278)	(757,447,168)	354
28	(693,280)	(693,444,164)	419
29	(676,284)	(676,443,159)	436
30	(659,289)	(659,442,153)	454
31	(641,295)	(641,441,146)	474
32	(641,295)	(641,441,146)	474
33	(622,301)	(622,440,139)	494
34	(603,309)	(603,439,130)	515
35	(585,317)	(585,438,121)	535
36	(563,327)	(563,437,110)	560
39	(515,348)	(515,435,87)	613
40	(491,359)	(491,434,75)	639
41	(475,375)	(475,433,57)	663
frame	(img_x,img_y)	(x,y,z)		distance
0	(1058,462)	(1058,462,0)	0
1	(1058,462)	(1058,462,0)	0
2	(1043,445)	(1043,461,15)	22
3	(1024,428)	(1024,460,31)	47
4	(1006,412)	(1006,459,46)	70
5	(989,398)	(989,458,60)	92
6	(972,383)	(972,457,74)	114
7	(972,383)	(972,457,74)	114
8	(955,369)	(955,456,87)	136
9	(939,356)	(939,456,99)	156
10	(924,345)	(924,455,109)	174
11	(908,335)	(908,454,119)	193
12	(892,324)	(892,453,129)	212
13	(892,324)	(892,453,129)	212
14	(878,316)	(878,453,137)	227
15	(863,309)	(863,452,143)	244
16	(848,301)	(848,451,150)	260
17	(833,296)	(833,450,154)	276
18	(819,289)	(819,450,160)	291
19	(819,289)	(819,450,160)	291
20	(804,284)	(804,449,165)	307
21	(789,280)	(789,448,168)	322
22	(774,278)	(774,448,169)	337
23	(757,278)	(757,447,168)	354
28	(693,280)	(693,444,164)	419
29	(676,284)	(676,443,159)	436
30	(659,289)	(659,442,153)	454
31	(641,295)	(641,441,146)	474
32	(641,295)	(641,441,146)	474
33	(622,301)	(622,440,139)	494
34	(603,309)	(603,439,130)	515
35	(585,317)	(585,438,121)	535
36	(563,327)	(563,437,110)	560
39	(515,348)	(515,435,87)	613
40	(491,359)	(491,434,75)	639
41	(475,375)	(475,433,57)	663
frame	(img_x,img_y)	(x,y,z)		distance
0	(1058,462)	(1058,462,0)	0
1	(1058,462)	(1058,462,0)	0
